<Pickup points> --- <Exponent>
[0, 1, 3, 5, 7] --- 11
[0, 2, 3, 5, 7] --- 11
[0, 2, 4, 5, 7] --- 11
[0, 2, 4, 6, 7] --- 11
[0, 1, 2, 4, 7] --- 12
[0, 1, 2, 5, 7] --- 12
[0, 1, 3, 4, 7] --- 12
[0, 1, 3, 6, 7] --- 12
[0, 1, 4, 5, 7] --- 12
[0, 1, 4, 6, 7] --- 12
[0, 2, 3, 4, 7] --- 12
[0, 2, 3, 6, 7] --- 12
[0, 2, 5, 6, 7] --- 12
[0, 3, 4, 5, 7] --- 12
[0, 3, 4, 6, 7] --- 12
[0, 3, 5, 6, 7] --- 12
[0, 1, 2, 3, 7] --- 13
[0, 1, 2, 6, 7] --- 13
[0, 1, 5, 6, 7] --- 13
[0, 4, 5, 6, 7] --- 13
[0, 1, 2, 5, 6] --- 14
[0, 1, 3, 5, 6] --- 14
[0, 1, 4, 5, 6] --- 14
[0, 2, 3, 5, 6] --- 14
[0, 2, 4, 5, 6] --- 14
[0, 1, 2, 3, 6] --- 15
[0, 1, 3, 4, 6] --- 15
[0, 2, 3, 4, 6] --- 15
[0, 3, 4, 5, 6] --- 15
[0, 1, 3, 4, 5] --- 16
[0, 2, 3, 4, 5] --- 16
[0, 1, 2, 4, 5] --- 17
[0, 1, 2, 4, 6] --- 17
[0, 1, 2, 3, 5] --- 18
[0, 1, 2, 3, 4] --- 19
