Register: r=32, n=11, pickup_points=[0, 5, 10], power=18
Register: r=32, n=11, pickup_points=[0, 4, 10], power=19
Register: r=32, n=11, pickup_points=[0, 6, 10], power=19
Register: r=32, n=11, pickup_points=[0, 3, 10], power=20
Register: r=32, n=11, pickup_points=[0, 7, 10], power=20
Register: r=32, n=11, pickup_points=[0, 2, 10], power=21
Register: r=32, n=11, pickup_points=[0, 8, 10], power=21
Register: r=32, n=11, pickup_points=[0, 1, 10], power=22
Register: r=32, n=11, pickup_points=[0, 9, 10], power=22
Register: r=32, n=11, pickup_points=[0, 6, 9], power=24
Register: r=32, n=11, pickup_points=[0, 8, 9], power=24
Register: r=32, n=11, pickup_points=[0, 4, 9], power=25
