Register: r=32, n=8, pickup_points=[0, 1, 4, 7], power=13
Register: r=32, n=8, pickup_points=[0, 2, 4, 7], power=13
Register: r=32, n=8, pickup_points=[0, 2, 5, 7], power=13
Register: r=32, n=8, pickup_points=[0, 3, 4, 7], power=13
Register: r=32, n=8, pickup_points=[0, 3, 5, 7], power=13
Register: r=32, n=8, pickup_points=[0, 3, 6, 7], power=13
Register: r=32, n=8, pickup_points=[0, 1, 3, 7], power=14
Register: r=32, n=8, pickup_points=[0, 1, 5, 7], power=14
Register: r=32, n=8, pickup_points=[0, 2, 3, 7], power=14
Register: r=32, n=8, pickup_points=[0, 2, 6, 7], power=14
Register: r=32, n=8, pickup_points=[0, 4, 5, 7], power=14
Register: r=32, n=8, pickup_points=[0, 4, 6, 7], power=14
Register: r=32, n=8, pickup_points=[0, 1, 2, 7], power=15
Register: r=32, n=8, pickup_points=[0, 1, 6, 7], power=15
Register: r=32, n=8, pickup_points=[0, 5, 6, 7], power=15
Register: r=32, n=8, pickup_points=[0, 2, 5, 6], power=16
Register: r=32, n=8, pickup_points=[0, 3, 5, 6], power=16
Register: r=32, n=8, pickup_points=[0, 1, 5, 6], power=17
Register: r=32, n=8, pickup_points=[0, 2, 3, 6], power=17
Register: r=32, n=8, pickup_points=[0, 4, 5, 6], power=17
Register: r=32, n=8, pickup_points=[0, 1, 3, 6], power=18
Register: r=32, n=8, pickup_points=[0, 3, 4, 6], power=18
Register: r=32, n=8, pickup_points=[0, 1, 2, 6], power=19
Register: r=32, n=8, pickup_points=[0, 1, 4, 5], power=19
Register: r=32, n=8, pickup_points=[0, 1, 4, 6], power=19
Register: r=32, n=8, pickup_points=[0, 2, 4, 5], power=19
Register: r=32, n=8, pickup_points=[0, 3, 4, 5], power=19
Register: r=32, n=8, pickup_points=[0, 1, 3, 5], power=21
Register: r=32, n=8, pickup_points=[0, 2, 3, 5], power=21
Register: r=32, n=8, pickup_points=[0, 1, 2, 5], power=22
Register: r=32, n=8, pickup_points=[0, 1, 3, 4], power=23
Register: r=32, n=8, pickup_points=[0, 2, 3, 4], power=23
Register: r=32, n=8, pickup_points=[0, 1, 2, 4], power=25
