Register: r=32, n=8, pickup_points=[0, 1, 4, 7], power=10
Register: r=32, n=8, pickup_points=[0, 2, 4, 7], power=10
Register: r=32, n=8, pickup_points=[0, 2, 5, 7], power=10
Register: r=32, n=8, pickup_points=[0, 3, 4, 7], power=10
Register: r=32, n=8, pickup_points=[0, 3, 5, 7], power=10
Register: r=32, n=8, pickup_points=[0, 3, 6, 7], power=10
Register: r=32, n=8, pickup_points=[0, 1, 3, 7], power=11
Register: r=32, n=8, pickup_points=[0, 1, 5, 6], power=11
Register: r=32, n=8, pickup_points=[0, 1, 5, 7], power=11
Register: r=32, n=8, pickup_points=[0, 2, 3, 7], power=11
Register: r=32, n=8, pickup_points=[0, 2, 6, 7], power=11
Register: r=32, n=8, pickup_points=[0, 4, 5, 7], power=11
Register: r=32, n=8, pickup_points=[0, 4, 6, 7], power=11
