Register: r=4, n=8, pickup_points=[0, 3, 7], power=11
Register: r=4, n=8, pickup_points=[0, 4, 7], power=11
Register: r=4, n=8, pickup_points=[0, 2, 7], power=12
Register: r=4, n=8, pickup_points=[0, 5, 7], power=12
Register: r=4, n=8, pickup_points=[0, 1, 7], power=13
Register: r=4, n=8, pickup_points=[0, 6, 7], power=13
Register: r=4, n=8, pickup_points=[0, 1, 6], power=14
Register: r=4, n=8, pickup_points=[0, 3, 6], power=14
Register: r=4, n=8, pickup_points=[0, 5, 6], power=14
Register: r=4, n=8, pickup_points=[0, 1, 5], power=17
Register: r=4, n=8, pickup_points=[0, 4, 5], power=17
Register: r=4, n=8, pickup_points=[0, 3, 5], power=18
Register: r=4, n=8, pickup_points=[0, 2, 3], power=19
Register: r=4, n=8, pickup_points=[0, 1, 3], power=20
