Register: r=4, n=8, pickup_points=[0, 1, 2, 3, 5, 7], power=9
Register: r=4, n=8, pickup_points=[0, 1, 2, 4, 5, 7], power=9
Register: r=4, n=8, pickup_points=[0, 1, 2, 4, 6, 7], power=9
Register: r=4, n=8, pickup_points=[0, 1, 3, 4, 5, 7], power=9
Register: r=4, n=8, pickup_points=[0, 1, 3, 4, 6, 7], power=9
Register: r=4, n=8, pickup_points=[0, 1, 3, 5, 6, 7], power=9
Register: r=4, n=8, pickup_points=[0, 2, 3, 4, 5, 7], power=9
Register: r=4, n=8, pickup_points=[0, 2, 3, 4, 6, 7], power=9
Register: r=4, n=8, pickup_points=[0, 2, 3, 5, 6, 7], power=9
Register: r=4, n=8, pickup_points=[0, 2, 4, 5, 6, 7], power=9
Register: r=4, n=8, pickup_points=[0, 1, 2, 3, 4, 7], power=10
Register: r=4, n=8, pickup_points=[0, 1, 2, 3, 5, 6], power=10
Register: r=4, n=8, pickup_points=[0, 1, 2, 3, 6, 7], power=10
Register: r=4, n=8, pickup_points=[0, 1, 2, 4, 5, 6], power=10
Register: r=4, n=8, pickup_points=[0, 1, 2, 5, 6, 7], power=10
Register: r=4, n=8, pickup_points=[0, 1, 3, 4, 5, 6], power=10
Register: r=4, n=8, pickup_points=[0, 1, 4, 5, 6, 7], power=10
Register: r=4, n=8, pickup_points=[0, 3, 4, 5, 6, 7], power=10
Register: r=4, n=8, pickup_points=[0, 1, 2, 3, 4, 5], power=11
Register: r=4, n=8, pickup_points=[0, 2, 3, 4, 5, 6], power=11
Register: r=4, n=8, pickup_points=[0, 1, 2, 3, 4, 6], power=12
